,Close,High,Open,Low
2116,0.8785423877738573,0.8204275254296015,0.8609216342431858,0.8855627790449778
2117,0.8751400483906517,0.8168354324408489,0.858296547280627,0.8827210681893565
2118,0.875624296307011,0.8173069079384678,0.8554177239930015,0.8798306193464951
2119,0.874712222614983,0.8167989788214023,0.8559774834343988,0.8796455533512118
2120,0.8738538504957244,0.8159446753652142,0.8549839470325027,0.8787039826635011
2121,0.8730805578262416,0.8153324693313173,0.8541880862771858,0.8777342278803063
2122,0.8722216322568338,0.8145680570034317,0.8534128255453362,0.8768845209351618
2123,0.8713872659128048,0.8137946793960549,0.8525722706673916,0.8760236432424024
2124,0.8705455470086446,0.8130256415084135,0.8517623577121166,0.8751700377614597
2125,0.869697446144882,0.8122392286207223,0.8509378857190057,0.8743169958406752
2126,0.86885229530741,0.811450835402658,0.8501091652300504,0.8734662534787102
2127,0.8680069010783102,0.8106612632948795,0.8492835920189611,0.8726188693968405
2128,0.8671619233716991,0.8098704042350273,0.8484572083344435,0.8717726807465493
2129,0.8663181047532146,0.8090797604264355,0.8476312956421777,0.8709280048113379
2130,0.8654753519857575,0.8082896322590702,0.8468064884448637,0.8700849571316905
2131,0.8646337824393113,0.8075002766930895,0.8459826831988502,0.8692433153115066
2132,0.8637934644219785,0.806711902476329,0.8451600256086773,0.8684030580159733
2133,0.8629544203397826,0.8059245999899428,0.8443385802555824,0.8675641751533051
2134,0.8621166729060463,0.8051384371973203,0.8435183747377356,0.8667266444950817
2135,0.8612802322985319,0.8043534548098374,0.8426994336494068,0.8658904553530077
2136,0.8604451041541246,0.803569675086999,0.8418817675605661,0.8650556002446643
2137,0.8596112917502325,0.8027871122358777,0.841065383178442,0.8642220737496977
2138,0.8587787959417458,0.8020057740735386,0.8402502842071384,0.8633898717688151
2139,0.8579476165224943,0.8012256645790578,0.8394364717451746,0.8625589908468042
2140,0.8571177526054978,0.8004467855398609,0.8386239458136374,0.861729428110249
2141,0.8562892028210302,0.7996691372939208,0.8378127056664675,0.8609011809950424
2142,0.8554619655330199,0.7988927193025032,0.8370027500377007,0.8600742471076411
2143,0.854636038938627,0.7981175304915044,0.8361940773756421,0.8592486241800803
