,0
2116,0.8787925482641312
2117,0.8784702712161645
2118,0.8787716578790975
2119,0.8793561154333991
2120,0.8796914114357416
2121,0.8788118909782434
2122,0.8784870759653864
2123,0.8787925482641312
2124,0.8784702712161645
2125,0.8787716578790975
2126,0.8793561154333991
2127,0.8796914114357416
2128,0.8788118909782434
2129,0.8784870759653864
2130,0.8787925482641312
2131,0.8784702712161645
2132,0.8787716578790975
2133,0.8793561154333991
2134,0.8796914114357416
2135,0.8788118909782434
2136,0.8784870759653864
2137,0.8787925482641312
2138,0.8784702712161645
2139,0.8787716578790975
2140,0.8793561154333991
2141,0.8796914114357416
2142,0.8788118909782434
2143,0.8784870759653864
