                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82905,                 0.5912,                 1.0942,                0.81305,                0.89855,                  0.882,                 0.5489,                 1.2214,                0.85977,                 1.5171,              0.0019347,              0.0019347,              0.0019347
                     36,                0.81685,                0.58203,                 1.0715,                0.84107,                0.85507,                0.85113,                0.54415,                 1.2597,                0.83359,                 1.5482,              0.0019327,              0.0019327,              0.0019327
                     37,                0.84246,                0.58721,                 1.0941,                0.90562,                0.91304,                0.95064,                0.64928,                 1.0373,                0.67215,                 1.4248,              0.0019307,              0.0019307,              0.0019307
                     38,                0.78322,                0.60177,                 1.0548,                0.80791,                0.84058,                0.91586,                0.62298,                 1.0659,                0.78903,                 1.4775,              0.0019287,              0.0019287,              0.0019287
                     39,                0.83894,                0.64417,                 1.0872,                0.90347,                0.78261,                0.84997,                0.55812,                  1.164,                0.88576,                 1.4987,              0.0019267,              0.0019267,              0.0019267
                     40,                0.77996,                0.57962,                  1.068,                 0.9034,                0.81328,                0.90326,                0.57033,                 1.2503,                0.70877,                 1.5863,              0.0019248,              0.0019248,              0.0019248
                     41,                 0.7851,                0.58519,                 1.0601,                0.80744,                0.91156,                0.88847,                0.64402,                 1.0129,                0.79153,                 1.3363,              0.0019228,              0.0019228,              0.0019228
                     42,                0.73285,                0.52686,                 1.0394,                0.84214,                0.92754,                0.94142,                0.67763,                 0.9574,                0.63802,                 1.3133,              0.0019208,              0.0019208,              0.0019208
                     43,                0.74382,                0.54013,                 1.0431,                0.86617,                0.93801,                0.94876,                0.66169,                 1.0154,                0.62347,                  1.323,              0.0019188,              0.0019188,              0.0019188
                     44,                0.79077,                0.53819,                 1.0528,                0.84549,                0.95169,                0.95417,                0.71302,                0.96092,                0.58384,                 1.2753,              0.0019168,              0.0019168,              0.0019168
                     45,                0.77099,                0.56179,                 1.0676,                0.81382,                 0.9503,                 0.9391,                0.66259,                 1.0683,                0.70253,                  1.408,              0.0019149,              0.0019149,              0.0019149
                     46,                0.77798,                0.57253,                 1.0422,                0.83383,                0.84058,                0.90353,                 0.6332,                 1.1055,                0.74758,                 1.4405,              0.0019129,              0.0019129,              0.0019129
                     47,                0.76986,                0.53851,                  1.063,                0.81167,                0.86957,                0.90147,                0.64883,                 1.0441,                0.79802,                 1.3838,              0.0019109,              0.0019109,              0.0019109
                     48,                0.79805,                0.54635,                 1.0584,                0.78225,                0.86957,                0.88848,                0.59445,                 1.1616,                0.94628,                 1.5027,              0.0019089,              0.0019089,              0.0019089
                     49,                0.79234,                0.55334,                 1.0732,                0.88633,                0.85507,                0.90161,                 0.6057,                 1.1531,                0.80535,                 1.4756,              0.0019069,              0.0019069,              0.0019069
                     50,                0.75197,                0.55538,                 1.0395,                0.78734,                 0.9122,                 0.8679,                0.58168,                 1.1327,                0.96238,                   1.46,               0.001905,               0.001905,               0.001905
                     51,                0.76938,                0.55586,                 1.0349,                0.87452,                 0.7971,                0.88986,                0.60246,                  1.137,                0.78948,                 1.4226,               0.001903,               0.001903,               0.001903
                     52,                 0.7562,                0.52281,                 1.0153,                0.89596,                0.87373,                0.94491,                0.66418,                 1.0313,                0.65663,                 1.3342,               0.001901,               0.001901,               0.001901
                     53,                0.77099,                0.52626,                 1.0773,                0.86382,                0.85507,                0.90975,                0.61812,                 1.0899,                0.68741,                 1.3996,               0.001899,               0.001899,               0.001899
                     54,                0.73569,                0.52268,                 1.0142,                0.90435,                0.82219,                0.89832,                0.61135,                 1.0904,                0.67858,                 1.3722,               0.001897,               0.001897,               0.001897
                     55,                0.74419,                0.52063,                 1.0424,                0.86752,                0.84058,                0.90171,                0.61743,                 1.1082,                0.80394,                 1.4449,              0.0018951,              0.0018951,              0.0018951
                     56,                0.73879,                0.51868,                 1.0161,                 0.7554,                0.85046,                0.88621,                0.58336,                 1.1971,                 1.0938,                 1.5395,              0.0018931,              0.0018931,              0.0018931
                     57,                0.72615,                0.54013,                 1.0154,                0.81864,                0.92754,                0.93016,                0.63509,                 1.1531,                0.79913,                 1.4774,              0.0018911,              0.0018911,              0.0018911
                     58,                0.74747,                 0.5327,                 1.0578,                0.87234,                0.89137,                0.93443,                0.66915,                0.98564,                 0.6841,                 1.3083,              0.0018891,              0.0018891,              0.0018891
                     59,                0.71259,                0.50787,                 1.0273,                0.91958,                0.86957,                0.93958,                0.67946,                0.92756,                0.67161,                 1.2706,              0.0018871,              0.0018871,              0.0018871
                     60,                0.68718,                0.50892,                 1.0019,                0.92286,                0.89855,                0.95302,                0.65655,                 1.0767,                0.74796,                 1.3607,              0.0018852,              0.0018852,              0.0018852
                     61,                 0.6765,                0.48939,                0.98338,                0.93925,                0.89628,                0.95235,                0.69495,                 1.0204,                0.57506,                 1.3732,              0.0018832,              0.0018832,              0.0018832
                     62,                0.69425,                0.49884,                 1.0161,                0.86444,                0.94203,                0.95353,                 0.6568,                 1.0527,                0.61302,                 1.3671,              0.0018812,              0.0018812,              0.0018812
                     63,                0.71329,                0.53217,                 1.0203,                0.87107,                0.88406,                0.95758,                0.65119,                 1.0478,                0.68597,                 1.3649,              0.0018792,              0.0018792,              0.0018792
                     64,                0.73588,                0.50384,                 1.0101,                0.90263,                0.88406,                0.93941,                0.60616,                 1.2234,                0.67518,                 1.4854,              0.0018772,              0.0018772,              0.0018772
                     65,                0.68149,                0.49635,                0.98892,                0.93763,                0.88406,                0.94575,                0.66151,                 1.0528,                0.63034,                 1.3767,              0.0018753,              0.0018753,              0.0018753
                     66,                0.73293,                0.49728,                 1.0193,                 0.8585,                0.87931,                0.89723,                0.57838,                 1.1746,                0.97457,                 1.5273,              0.0018733,              0.0018733,              0.0018733
                     67,                0.70877,                0.49514,                 1.0292,                0.93959,                0.90176,                0.97414,                 0.6991,                 0.9714,                0.55278,                 1.3387,              0.0018713,              0.0018713,              0.0018713
                     68,                0.68776,                0.47808,                 0.9761,                0.96903,                0.90713,                0.96583,                0.66957,                 1.0336,                0.54397,                 1.3651,              0.0018693,              0.0018693,              0.0018693
                     69,                0.70542,                0.49602,                 1.0199,                0.96288,                0.91304,                0.96824,                0.71269,                 0.9591,                0.58323,                 1.2477,              0.0018673,              0.0018673,              0.0018673
                     70,                 0.7345,                0.49536,                 1.0275,                0.93984,                0.90562,                0.95476,                0.61572,                 1.2114,                0.63022,                  1.494,              0.0018654,              0.0018654,              0.0018654
                     71,                0.72897,                0.50283,                 1.0308,                0.90822,                0.89855,                0.94666,                0.64114,                 1.1106,                0.66201,                 1.4324,              0.0018634,              0.0018634,              0.0018634
                     72,                0.75247,                 0.5213,                  1.027,                0.87484,                0.91174,                0.92246,                 0.5985,                  1.252,                0.64864,                 1.5504,              0.0018614,              0.0018614,              0.0018614
                     73,                0.72261,                0.49617,                 1.0391,                0.88255,                0.84058,                0.91662,                0.64177,                0.98467,                0.70433,                 1.2931,              0.0018594,              0.0018594,              0.0018594
                     74,                 0.7168,                0.49695,                 1.0266,                0.90112,                0.92454,                0.95997,                0.69067,                0.96699,                0.60435,                 1.2533,              0.0018574,              0.0018574,              0.0018574
                     75,                0.72377,                0.48389,                 1.0245,                0.92572,                0.94203,                0.97352,                0.69842,                 1.0521,                0.58006,                 1.3879,              0.0018555,              0.0018555,              0.0018555
                     76,                0.67709,                0.47114,                 1.0044,                0.80428,                0.95295,                 0.9472,                0.69128,                 1.0344,                0.77008,                 1.3647,              0.0018535,              0.0018535,              0.0018535
                     77,                0.69443,                0.49782,                 1.0213,                 0.8518,                0.91632,                0.92087,                0.64786,                 1.0509,                0.68248,                 1.3522,              0.0018515,              0.0018515,              0.0018515
                     78,                0.67176,                0.48455,                 1.0029,                0.90107,                0.94203,                0.94369,                0.64974,                 1.0778,                0.61647,                 1.3702,              0.0018495,              0.0018495,              0.0018495
                     79,                0.66711,                0.46708,                0.99057,                0.95584,                0.85507,                0.94861,                0.68665,                 0.9682,                 0.5992,                 1.3196,              0.0018475,              0.0018475,              0.0018475
                     80,                 0.6848,                0.46021,                0.99832,                0.88765,                0.92754,                0.95083,                0.68408,                0.98916,                0.61206,                 1.3412,              0.0018456,              0.0018456,              0.0018456
                     81,                0.64763,                 0.4553,                0.97482,                0.89838,                0.89685,                0.94078,                0.66474,                 1.0242,                0.63657,                  1.398,              0.0018436,              0.0018436,              0.0018436
                     82,                0.68237,                 0.4817,                   1.01,                0.84256,                0.97101,                0.94261,                0.66461,                  1.049,                0.60871,                 1.3855,              0.0018416,              0.0018416,              0.0018416
                     83,                0.66863,                0.46175,                0.99901,                0.86962,                0.96665,                0.95426,                 0.6635,                 1.0438,                0.59274,                 1.3633,              0.0018396,              0.0018396,              0.0018396
                     84,                 0.6446,                0.44709,                0.96903,                0.88125,                0.96797,                0.94993,                0.67442,                 1.0084,                0.61201,                 1.3336,              0.0018376,              0.0018376,              0.0018376
                     85,                0.66509,                0.44974,                 1.0116,                0.86936,                0.96452,                 0.9529,                0.68662,                 1.0117,                0.61873,                 1.3797,              0.0018357,              0.0018357,              0.0018357
                     86,                0.59501,                0.41487,                0.96968,                0.86243,                0.92754,                0.94033,                0.68228,                 1.0296,                0.64307,                 1.3817,              0.0018337,              0.0018337,              0.0018337
                     87,                0.61652,                  0.424,                0.98364,                0.88129,                0.92754,                0.95041,                0.70017,                0.97189,                0.57548,                 1.3433,              0.0018317,              0.0018317,              0.0018317
                     88,                0.64662,                0.43686,                0.97599,                0.88835,                0.94203,                0.95475,                0.70466,                0.97655,                0.55298,                 1.3268,              0.0018297,              0.0018297,              0.0018297
                     89,                0.62253,                0.42428,                0.96865,                0.88158,                0.97098,                0.96331,                0.70427,                0.95226,                 0.5406,                 1.3058,              0.0018277,              0.0018277,              0.0018277
                     90,                0.62751,                0.42709,                0.98586,                0.89012,                0.94203,                0.96891,                0.71638,                0.94074,                0.55761,                 1.3088,              0.0018258,              0.0018258,              0.0018258
                     91,                 0.6504,                0.44236,                 1.0078,                0.92933,                0.88406,                0.94828,                0.68911,                 1.0011,                0.58426,                 1.3336,              0.0018238,              0.0018238,              0.0018238
                     92,                 0.6208,                0.45242,                  0.983,                 0.9142,                 0.9265,                 0.9628,                0.68737,                 1.0108,                0.56968,                 1.3188,              0.0018218,              0.0018218,              0.0018218
                     93,                0.62909,                0.43595,                0.98959,                0.87718,                0.94203,                0.95489,                0.67899,                 1.0342,                 0.6011,                 1.3773,              0.0018198,              0.0018198,              0.0018198
                     94,                0.64277,                0.42984,                 0.9891,                0.92636,                0.91165,                0.96329,                0.66734,                 1.0505,                 0.6073,                 1.3657,              0.0018178,              0.0018178,              0.0018178
                     95,                0.63928,                0.45027,                0.98933,                0.90317,                0.94631,                 0.9654,                0.69154,                0.95128,                0.52665,                  1.275,              0.0018159,              0.0018159,              0.0018159
                     96,                0.61377,                0.44292,                0.97125,                0.90105,                0.92385,                0.93787,                0.68488,                 0.9516,                0.58597,                 1.2665,              0.0018139,              0.0018139,              0.0018139
                     97,                0.65405,                0.45439,                0.99528,                0.88411,                0.91304,                0.92435,                0.67578,                0.90378,                0.60995,                 1.2486,              0.0018119,              0.0018119,              0.0018119
                     98,                0.63733,                0.44308,                0.98621,                0.89252,                0.88406,                0.95139,                0.70708,                0.92592,                0.61679,                 1.2831,              0.0018099,              0.0018099,              0.0018099
                     99,                0.61654,                0.43506,                0.97026,                0.86145,                0.90114,                  0.941,                0.66589,                0.99179,                0.75676,                 1.3276,              0.0018079,              0.0018079,              0.0018079
                    100,                0.59456,                0.40202,                0.97583,                0.90237,                0.97101,                0.95893,                0.71137,                0.91371,                0.54821,                 1.2219,               0.001806,               0.001806,               0.001806
                    101,                 0.6231,                0.42973,                0.98308,                0.91133,                0.95652,                0.94913,                0.68767,                0.97149,                0.53067,                  1.321,               0.001804,               0.001804,               0.001804
                    102,                0.59901,                 0.4273,                0.96181,                0.88805,                0.91975,                0.95074,                 0.6766,                  1.026,                0.57617,                 1.4513,               0.001802,               0.001802,               0.001802
                    103,                0.62936,                0.40603,                 0.9653,                0.85282,                0.97101,                0.96263,                0.67772,                 1.0094,                0.57279,                 1.3671,                 0.0018,                 0.0018,                 0.0018
                    104,                0.61327,                0.43418,                  0.962,                0.90748,                0.94203,                0.96513,                0.68195,                0.99731,                0.56808,                 1.3651,               0.001798,               0.001798,               0.001798
                    105,                 0.6656,                0.43515,                 1.0037,                0.92262,                0.92754,                0.95696,                0.70819,                0.94168,                0.52607,                 1.2762,              0.0017961,              0.0017961,              0.0017961
                    106,                0.60875,                0.42281,                0.95822,                 0.8642,                0.94203,                0.95898,                0.67395,                 1.0071,                0.55794,                 1.3158,              0.0017941,              0.0017941,              0.0017941
                    107,                0.57657,                0.40138,                0.95011,                 0.8862,                0.91304,                0.93827,                0.66742,                0.95879,                0.56999,                 1.2804,              0.0017921,              0.0017921,              0.0017921
                    108,                 0.5896,                0.42992,                0.95914,                0.92693,                0.95652,                 0.9594,                0.68435,                 1.0218,                0.60219,                 1.3515,              0.0017901,              0.0017901,              0.0017901
                    109,                0.58503,                0.39406,                0.97548,                0.88836,                0.97101,                0.94847,                0.69831,                0.91037,                0.60378,                 1.2059,              0.0017881,              0.0017881,              0.0017881
                    110,                0.57661,                 0.3829,                0.94827,                0.88874,                0.92618,                0.94244,                0.68041,                0.98369,                0.66969,                 1.2387,              0.0017862,              0.0017862,              0.0017862
                    111,                0.59151,                0.41412,                0.95399,                0.89887,                0.92754,                0.96147,                0.74638,                0.90167,                0.58157,                 1.1646,              0.0017842,              0.0017842,              0.0017842
                    112,                 0.6192,                0.44317,                 0.9967,                0.95118,                0.89855,                0.96564,                0.69271,                 1.0024,                0.55379,                 1.2942,              0.0017822,              0.0017822,              0.0017822
                    113,                0.61088,                0.42675,                0.97335,                0.94709,                0.89855,                0.94482,                0.69202,                 1.0051,                0.62757,                 1.3212,              0.0017802,              0.0017802,              0.0017802
                    114,                0.60334,                0.41613,                0.97829,                0.91891,                0.85507,                0.93602,                 0.6424,                 1.1311,                0.66491,                 1.4794,              0.0017782,              0.0017782,              0.0017782
                    115,                0.58393,                0.39667,                0.96287,                0.92207,                0.92754,                0.96057,                0.67206,                 1.0575,                0.60408,                 1.4729,              0.0017763,              0.0017763,              0.0017763
                    116,                0.58422,                0.40954,                0.96277,                0.88859,                0.92476,                0.96628,                0.66613,                 1.0495,                0.61608,                 1.4191,              0.0017743,              0.0017743,              0.0017743
                    117,                0.59015,                0.40714,                0.96804,                0.91048,                0.92754,                0.96383,                0.67214,                 1.0788,                0.60745,                  1.442,              0.0017723,              0.0017723,              0.0017723
